"Country","Country_Code","Indicator","Series_Code","Value","Year","Period"
"Algeria","DZA","Account, female (% age 15+)","account.t.d.1",40.07,2014,"Pre-COVID"
"Algeria","DZA","Account, female (% age 15+)","account.t.d.1",29.27,2017,"Pre-COVID"
"Algeria","DZA","Account, female (% age 15+)","account.t.d.1",31.19,2021,"Post-COVID"
"Algeria","DZA","Account, female (% age 15+)","account.t.d.1",NA,2022,"Post-COVID"
"Algeria","DZA","Account, male (% age 15+)","account.t.d.2",46.13,2011,"Pre-COVID"
"Algeria","DZA","Account, male (% age 15+)","account.t.d.2",60.91,2014,"Pre-COVID"
"Algeria","DZA","Account, male (% age 15+)","account.t.d.2",56.25,2017,"Pre-COVID"
"Algeria","DZA","Account, male (% age 15+)","account.t.d.2",56.83,2021,"Post-COVID"
"Algeria","DZA","Account, male (% age 15+)","account.t.d.2",NA,2022,"Post-COVID"
"Algeria","DZA","Borrowed any money (% age 15+)","borrow.any",NA,2011,"Pre-COVID"
"Algeria","DZA","Borrowed any money (% age 15+)","borrow.any",25.79,2014,"Pre-COVID"
"Algeria","DZA","Borrowed any money (% age 15+)","borrow.any",28.87,2017,"Pre-COVID"
"Algeria","DZA","Borrowed any money (% age 15+)","borrow.any",37.59,2021,"Post-COVID"
"Algeria","DZA","Borrowed any money (% age 15+)","borrow.any",NA,2022,"Post-COVID"
"Algeria","DZA","Made a digital payment (% age 15+)","g20.made.t.d",NA,2011,"Pre-COVID"
"Algeria","DZA","Made a digital payment (% age 15+)","g20.made.t.d",11.71,2014,"Pre-COVID"
"Algeria","DZA","Made a digital payment (% age 15+)","g20.made.t.d",15.57,2017,"Pre-COVID"
"Algeria","DZA","Made a digital payment (% age 15+)","g20.made.t.d",12.76,2021,"Post-COVID"
"Algeria","DZA","Made a digital payment (% age 15+)","g20.made.t.d",NA,2022,"Post-COVID"
"Algeria","DZA","Saved any money (% age 15+)","save.any",NA,2011,"Pre-COVID"
"Algeria","DZA","Saved any money (% age 15+)","save.any",45.31,2014,"Pre-COVID"
"Algeria","DZA","Saved any money (% age 15+)","save.any",38.66,2017,"Pre-COVID"
"Algeria","DZA","Saved any money (% age 15+)","save.any",45.69,2021,"Post-COVID"
"Algeria","DZA","Saved any money (% age 15+)","save.any",NA,2022,"Post-COVID"
"Angola","AGO","Account (% age 15+)","account.t.d",39.2,2011,"Pre-COVID"
"Angola","AGO","Account (% age 15+)","account.t.d",29.32,2014,"Pre-COVID"
"Angola","AGO","Account (% age 15+)","account.t.d",NA,2017,"Pre-COVID"
"Angola","AGO","Account (% age 15+)","account.t.d",NA,2021,"Post-COVID"
"Angola","AGO","Account (% age 15+)","account.t.d",NA,2022,"Post-COVID"
"Angola","AGO","Account, female (% age 15+)","account.t.d.1",38.93,2011,"Pre-COVID"
"Angola","AGO","Account, female (% age 15+)","account.t.d.1",22.33,2014,"Pre-COVID"
"Angola","AGO","Account, female (% age 15+)","account.t.d.1",NA,2017,"Pre-COVID"
"Angola","AGO","Account, female (% age 15+)","account.t.d.1",NA,2021,"Post-COVID"
"Angola","AGO","Account, female (% age 15+)","account.t.d.1",NA,2022,"Post-COVID"
"Angola","AGO","Account, male (% age 15+)","account.t.d.2",39.48,2011,"Pre-COVID"
"Angola","AGO","Account, male (% age 15+)","account.t.d.2",36.13,2014,"Pre-COVID"
"Angola","AGO","Account, male (% age 15+)","account.t.d.2",NA,2017,"Pre-COVID"
"Angola","AGO","Account, male (% age 15+)","account.t.d.2",NA,2021,"Post-COVID"
"Angola","AGO","Account, male (% age 15+)","account.t.d.2",NA,2022,"Post-COVID"
"Angola","AGO","Borrowed any money (% age 15+)","borrow.any",NA,2011,"Pre-COVID"
"Angola","AGO","Borrowed any money (% age 15+)","borrow.any",30.84,2014,"Pre-COVID"
"Angola","AGO","Borrowed any money (% age 15+)","borrow.any",NA,2017,"Pre-COVID"
"Angola","AGO","Borrowed any money (% age 15+)","borrow.any",NA,2021,"Post-COVID"
"Angola","AGO","Borrowed any money (% age 15+)","borrow.any",NA,2022,"Post-COVID"
"Angola","AGO","Made a digital payment (% age 15+)","g20.made.t.d",NA,2011,"Pre-COVID"
"Angola","AGO","Made a digital payment (% age 15+)","g20.made.t.d",19.18,2014,"Pre-COVID"
"Angola","AGO","Made a digital payment (% age 15+)","g20.made.t.d",NA,2017,"Pre-COVID"
"Angola","AGO","Made a digital payment (% age 15+)","g20.made.t.d",NA,2021,"Post-COVID"
"Angola","AGO","Made a digital payment (% age 15+)","g20.made.t.d",NA,2022,"Post-COVID"
"Angola","AGO","Saved any money (% age 15+)","save.any",NA,2011,"Pre-COVID"
"Angola","AGO","Saved any money (% age 15+)","save.any",53.06,2014,"Pre-COVID"
"Angola","AGO","Saved any money (% age 15+)","save.any",NA,2017,"Pre-COVID"
"Angola","AGO","Saved any money (% age 15+)","save.any",NA,2021,"Post-COVID"
"Angola","AGO","Saved any money (% age 15+)","save.any",NA,2022,"Post-COVID"
"Argentina","ARG","Account (% age 15+)","account.t.d",33.13,2011,"Pre-COVID"
"Argentina","ARG","Account (% age 15+)","account.t.d",50.2,2014,"Pre-COVID"
"Argentina","ARG","Account (% age 15+)","account.t.d",48.71,2017,"Pre-COVID"
"Argentina","ARG","Account (% age 15+)","account.t.d",71.63,2021,"Post-COVID"
"Argentina","ARG","Account (% age 15+)","account.t.d",NA,2022,"Post-COVID"
"Argentina","ARG","Account, female (% age 15+)","account.t.d.1",31.82,2011,"Pre-COVID"
"Argentina","ARG","Account, female (% age 15+)","account.t.d.1",50.85,2014,"Pre-COVID"
"Argentina","ARG","Account, female (% age 15+)","account.t.d.1",50.76,2017,"Pre-COVID"
"Argentina","ARG","Account, female (% age 15+)","account.t.d.1",73.75,2021,"Post-COVID"
"Argentina","ARG","Account, female (% age 15+)","account.t.d.1",NA,2022,"Post-COVID"
"Argentina","ARG","Account, male (% age 15+)","account.t.d.2",34.61,2011,"Pre-COVID"
"Argentina","ARG","Account, male (% age 15+)","account.t.d.2",49.46,2014,"Pre-COVID"
"Argentina","ARG","Account, male (% age 15+)","account.t.d.2",46.47,2017,"Pre-COVID"
"Argentina","ARG","Account, male (% age 15+)","account.t.d.2",69.56,2021,"Post-COVID"
"Argentina","ARG","Account, male (% age 15+)","account.t.d.2",NA,2022,"Post-COVID"
"Argentina","ARG","Borrowed any money (% age 15+)","borrow.any",NA,2011,"Pre-COVID"
"Argentina","ARG","Borrowed any money (% age 15+)","borrow.any",33.7,2014,"Pre-COVID"
"Argentina","ARG","Borrowed any money (% age 15+)","borrow.any",37.5,2017,"Pre-COVID"
"Argentina","ARG","Borrowed any money (% age 15+)","borrow.any",51.56,2021,"Post-COVID"
"Argentina","ARG","Borrowed any money (% age 15+)","borrow.any",NA,2022,"Post-COVID"
"Argentina","ARG","Made a digital payment (% age 15+)","g20.made.t.d",NA,2011,"Pre-COVID"
"Argentina","ARG","Made a digital payment (% age 15+)","g20.made.t.d",31.28,2014,"Pre-COVID"
"Argentina","ARG","Made a digital payment (% age 15+)","g20.made.t.d",31.87,2017,"Pre-COVID"
"Argentina","ARG","Made a digital payment (% age 15+)","g20.made.t.d",59.14,2021,"Post-COVID"
"Argentina","ARG","Made a digital payment (% age 15+)","g20.made.t.d",NA,2022,"Post-COVID"
"Argentina","ARG","Saved any money (% age 15+)","save.any",NA,2011,"Pre-COVID"
"Argentina","ARG","Saved any money (% age 15+)","save.any",23.14,2014,"Pre-COVID"
"Argentina","ARG","Saved any money (% age 15+)","save.any",30.31,2017,"Pre-COVID"
"Argentina","ARG","Saved any money (% age 15+)","save.any",38.72,2021,"Post-COVID"
"Argentina","ARG","Saved any money (% age 15+)","save.any",NA,2022,"Post-COVID"
"Armenia","ARM","Account (% age 15+)","account.t.d",17.49,2011,"Pre-COVID"
"Armenia","ARM","Account (% age 15+)","account.t.d",17.67,2014,"Pre-COVID"
"Armenia","ARM","Account (% age 15+)","account.t.d",47.76,2017,"Pre-COVID"
"Armenia","ARM","Account (% age 15+)","account.t.d",55.35,2021,"Post-COVID"
"Armenia","ARM","Account (% age 15+)","account.t.d",NA,2022,"Post-COVID"
"Armenia","ARM","Account, female (% age 15+)","account.t.d.1",18.15,2011,"Pre-COVID"
"Armenia","ARM","Account, female (% age 15+)","account.t.d.1",14.74,2014,"Pre-COVID"
"Armenia","ARM","Account, female (% age 15+)","account.t.d.1",40.91,2017,"Pre-COVID"
"Armenia","ARM","Account, female (% age 15+)","account.t.d.1",52.18,2021,"Post-COVID"
"Armenia","ARM","Account, female (% age 15+)","account.t.d.1",NA,2022,"Post-COVID"
"Armenia","ARM","Account, male (% age 15+)","account.t.d.2",16.72,2011,"Pre-COVID"
"Armenia","ARM","Account, male (% age 15+)","account.t.d.2",21.12,2014,"Pre-COVID"
"Armenia","ARM","Account, male (% age 15+)","account.t.d.2",55.75,2017,"Pre-COVID"
"Armenia","ARM","Account, male (% age 15+)","account.t.d.2",59.38,2021,"Post-COVID"
"Armenia","ARM","Account, male (% age 15+)","account.t.d.2",NA,2022,"Post-COVID"
"Armenia","ARM","Borrowed any money (% age 15+)","borrow.any",NA,2011,"Pre-COVID"
"Armenia","ARM","Borrowed any money (% age 15+)","borrow.any",48.02,2014,"Pre-COVID"
"Armenia","ARM","Borrowed any money (% age 15+)","borrow.any",55.32,2017,"Pre-COVID"
"Armenia","ARM","Borrowed any money (% age 15+)","borrow.any",57.31,2021,"Post-COVID"
"Armenia","ARM","Borrowed any money (% age 15+)","borrow.any",NA,2022,"Post-COVID"
"Armenia","ARM","Made a digital payment (% age 15+)","g20.made.t.d",NA,2011,"Pre-COVID"
"Armenia","ARM","Made a digital payment (% age 15+)","g20.made.t.d",7.23,2014,"Pre-COVID"
"Armenia","ARM","Made a digital payment (% age 15+)","g20.made.t.d",31.87,2017,"Pre-COVID"
"Armenia","ARM","Made a digital payment (% age 15+)","g20.made.t.d",40.34,2021,"Post-COVID"
"Armenia","ARM","Made a digital payment (% age 15+)","g20.made.t.d",NA,2022,"Post-COVID"
"Armenia","ARM","Saved any money (% age 15+)","save.any",NA,2011,"Pre-COVID"
"Armenia","ARM","Saved any money (% age 15+)","save.any",21,2014,"Pre-COVID"
"Armenia","ARM","Saved any money (% age 15+)","save.any",31.25,2017,"Pre-COVID"
"Armenia","ARM","Saved any money (% age 15+)","save.any",38.56,2021,"Post-COVID"
"Armenia","ARM","Saved any money (% age 15+)","save.any",NA,2022,"Post-COVID"
"Australia","AUS","Account (% age 15+)","account.t.d",99.06,2011,"Pre-COVID"
"Australia","AUS","Account (% age 15+)","account.t.d",98.86,2014,"Pre-COVID"
"Australia","AUS","Account (% age 15+)","account.t.d",99.52,2017,"Pre-COVID"
"Australia","AUS","Account (% age 15+)","account.t.d",99.32,2021,"Post-COVID"
"Australia","AUS","Account (% age 15+)","account.t.d",NA,2022,"Post-COVID"
"Australia","AUS","Account, female (% age 15+)","account.t.d.1",98.59,2011,"Pre-COVID"
"Australia","AUS","Account, female (% age 15+)","account.t.d.1",99.04,2014,"Pre-COVID"
"Australia","AUS","Account, female (% age 15+)","account.t.d.1",99.2,2017,"Pre-COVID"
"Australia","AUS","Account, female (% age 15+)","account.t.d.1",100,2021,"Post-COVID"
"Australia","AUS","Account, female (% age 15+)","account.t.d.1",NA,2022,"Post-COVID"
"Australia","AUS","Account, male (% age 15+)","account.t.d.2",99.59,2011,"Pre-COVID"
"Australia","AUS","Account, male (% age 15+)","account.t.d.2",98.67,2014,"Pre-COVID"
"Australia","AUS","Account, male (% age 15+)","account.t.d.2",99.85,2017,"Pre-COVID"
"Australia","AUS","Account, male (% age 15+)","account.t.d.2",98.59,2021,"Post-COVID"
"Australia","AUS","Account, male (% age 15+)","account.t.d.2",NA,2022,"Post-COVID"
"Australia","AUS","Borrowed any money (% age 15+)","borrow.any",NA,2011,"Pre-COVID"
"Australia","AUS","Borrowed any money (% age 15+)","borrow.any",76.1,2014,"Pre-COVID"
"Australia","AUS","Borrowed any money (% age 15+)","borrow.any",71.72,2017,"Pre-COVID"
"Australia","AUS","Borrowed any money (% age 15+)","borrow.any",67,2021,"Post-COVID"
"Australia","AUS","Borrowed any money (% age 15+)","borrow.any",NA,2022,"Post-COVID"
"Australia","AUS","Made a digital payment (% age 15+)","g20.made.t.d",NA,2011,"Pre-COVID"
"Australia","AUS","Made a digital payment (% age 15+)","g20.made.t.d",93.22,2014,"Pre-COVID"
"Australia","AUS","Made a digital payment (% age 15+)","g20.made.t.d",93.58,2017,"Pre-COVID"
"Australia","AUS","Made a digital payment (% age 15+)","g20.made.t.d",97.43,2021,"Post-COVID"
"Australia","AUS","Made a digital payment (% age 15+)","g20.made.t.d",NA,2022,"Post-COVID"
"Australia","AUS","Saved any money (% age 15+)","save.any",NA,2011,"Pre-COVID"
"Australia","AUS","Saved any money (% age 15+)","save.any",81.47,2014,"Pre-COVID"
"Australia","AUS","Saved any money (% age 15+)","save.any",79.29,2017,"Pre-COVID"
"Australia","AUS","Saved any money (% age 15+)","save.any",82.98,2021,"Post-COVID"
"Australia","AUS","Saved any money (% age 15+)","save.any",NA,2022,"Post-COVID"
"Austria","AUT","Account (% age 15+)","account.t.d",97.08,2011,"Pre-COVID"
"Austria","AUT","Account (% age 15+)","account.t.d",96.73,2014,"Pre-COVID"
"Austria","AUT","Account (% age 15+)","account.t.d",98.16,2017,"Pre-COVID"
"Austria","AUT","Account (% age 15+)","account.t.d",99.95,2021,"Post-COVID"
"Austria","AUT","Account (% age 15+)","account.t.d",NA,2022,"Post-COVID"
"Austria","AUT","Account, female (% age 15+)","account.t.d.1",96.56,2011,"Pre-COVID"
"Austria","AUT","Account, female (% age 15+)","account.t.d.1",97.37,2014,"Pre-COVID"
"Austria","AUT","Account, female (% age 15+)","account.t.d.1",98.38,2017,"Pre-COVID"
"Austria","AUT","Account, female (% age 15+)","account.t.d.1",100,2021,"Post-COVID"
"Austria","AUT","Account, female (% age 15+)","account.t.d.1",NA,2022,"Post-COVID"
"Austria","AUT","Account, male (% age 15+)","account.t.d.2",97.74,2011,"Pre-COVID"
"Austria","AUT","Account, male (% age 15+)","account.t.d.2",96.06,2014,"Pre-COVID"
"Austria","AUT","Account, male (% age 15+)","account.t.d.2",97.93,2017,"Pre-COVID"
"Austria","AUT","Account, male (% age 15+)","account.t.d.2",99.9,2021,"Post-COVID"
"Austria","AUT","Account, male (% age 15+)","account.t.d.2",NA,2022,"Post-COVID"
"Austria","AUT","Borrowed any money (% age 15+)","borrow.any",NA,2011,"Pre-COVID"
"Austria","AUT","Borrowed any money (% age 15+)","borrow.any",57.26,2014,"Pre-COVID"
"Austria","AUT","Borrowed any money (% age 15+)","borrow.any",61.6,2017,"Pre-COVID"
"Austria","AUT","Borrowed any money (% age 15+)","borrow.any",64.01,2021,"Post-COVID"
"Austria","AUT","Borrowed any money (% age 15+)","borrow.any",NA,2022,"Post-COVID"
"Austria","AUT","Made a digital payment (% age 15+)","g20.made.t.d",NA,2011,"Pre-COVID"
"Austria","AUT","Made a digital payment (% age 15+)","g20.made.t.d",90.29,2014,"Pre-COVID"
"Austria","AUT","Made a digital payment (% age 15+)","g20.made.t.d",93.52,2017,"Pre-COVID"
"Austria","AUT","Made a digital payment (% age 15+)","g20.made.t.d",99.23,2021,"Post-COVID"
"Austria","AUT","Made a digital payment (% age 15+)","g20.made.t.d",NA,2022,"Post-COVID"
"Austria","AUT","Saved any money (% age 15+)","save.any",NA,2011,"Pre-COVID"
"Austria","AUT","Saved any money (% age 15+)","save.any",79.6,2014,"Pre-COVID"
"Austria","AUT","Saved any money (% age 15+)","save.any",79.6,2017,"Pre-COVID"
"Austria","AUT","Saved any money (% age 15+)","save.any",92,2021,"Post-COVID"
"Austria","AUT","Saved any money (% age 15+)","save.any",NA,2022,"Post-COVID"
"Azerbaijan","AZE","Account (% age 15+)","account.t.d",14.9,2011,"Pre-COVID"
"Azerbaijan","AZE","Account (% age 15+)","account.t.d",29.15,2014,"Pre-COVID"
"Azerbaijan","AZE","Account (% age 15+)","account.t.d",28.57,2017,"Pre-COVID"
"Azerbaijan","AZE","Account (% age 15+)","account.t.d",NA,2021,"Post-COVID"
"Azerbaijan","AZE","Account (% age 15+)","account.t.d",46.26,2022,"Post-COVID"
"Azerbaijan","AZE","Account, female (% age 15+)","account.t.d.1",14.26,2011,"Pre-COVID"
"Azerbaijan","AZE","Account, female (% age 15+)","account.t.d.1",25.9,2014,"Pre-COVID"
"Azerbaijan","AZE","Account, female (% age 15+)","account.t.d.1",27.72,2017,"Pre-COVID"
"Azerbaijan","AZE","Account, female (% age 15+)","account.t.d.1",NA,2021,"Post-COVID"
"Azerbaijan","AZE","Account, female (% age 15+)","account.t.d.1",38.84,2022,"Post-COVID"
"Azerbaijan","AZE","Account, male (% age 15+)","account.t.d.2",15.62,2011,"Pre-COVID"
"Azerbaijan","AZE","Account, male (% age 15+)","account.t.d.2",32.61,2014,"Pre-COVID"
"Azerbaijan","AZE","Account, male (% age 15+)","account.t.d.2",29.44,2017,"Pre-COVID"
"Azerbaijan","AZE","Account, male (% age 15+)","account.t.d.2",NA,2021,"Post-COVID"
"Azerbaijan","AZE","Account, male (% age 15+)","account.t.d.2",54.59,2022,"Post-COVID"
"Azerbaijan","AZE","Borrowed any money (% age 15+)","borrow.any",NA,2011,"Pre-COVID"
"Azerbaijan","AZE","Borrowed any money (% age 15+)","borrow.any",49.78,2014,"Pre-COVID"
"Azerbaijan","AZE","Borrowed any money (% age 15+)","borrow.any",50.61,2017,"Pre-COVID"
"Azerbaijan","AZE","Borrowed any money (% age 15+)","borrow.any",NA,2021,"Post-COVID"
"Azerbaijan","AZE","Borrowed any money (% age 15+)","borrow.any",55.08,2022,"Post-COVID"
"Azerbaijan","AZE","Made a digital payment (% age 15+)","g20.made.t.d",NA,2011,"Pre-COVID"
"Azerbaijan","AZE","Made a digital payment (% age 15+)","g20.made.t.d",8.9,2014,"Pre-COVID"
"Azerbaijan","AZE","Made a digital payment (% age 15+)","g20.made.t.d",10.39,2017,"Pre-COVID"
"Azerbaijan","AZE","Made a digital payment (% age 15+)","g20.made.t.d",NA,2021,"Post-COVID"
"Azerbaijan","AZE","Made a digital payment (% age 15+)","g20.made.t.d",27.71,2022,"Post-COVID"
"Azerbaijan","AZE","Saved any money (% age 15+)","save.any",NA,2011,"Pre-COVID"
"Azerbaijan","AZE","Saved any money (% age 15+)","save.any",39.54,2014,"Pre-COVID"
"Azerbaijan","AZE","Saved any money (% age 15+)","save.any",26.78,2017,"Pre-COVID"
"Azerbaijan","AZE","Saved any money (% age 15+)","save.any",NA,2021,"Post-COVID"
"Azerbaijan","AZE","Saved any money (% age 15+)","save.any",19.47,2022,"Post-COVID"
"Bahrain","BHR","Account (% age 15+)","account.t.d",64.51,2011,"Pre-COVID"
"Bahrain","BHR","Account (% age 15+)","account.t.d",81.94,2014,"Pre-COVID"
"Bahrain","BHR","Account (% age 15+)","account.t.d",82.61,2017,"Pre-COVID"
"Bahrain","BHR","Account (% age 15+)","account.t.d",NA,2021,"Post-COVID"
"Bahrain","BHR","Account (% age 15+)","account.t.d",NA,2022,"Post-COVID"
"Bahrain","BHR","Account, female (% age 15+)","account.t.d.1",48.78,2011,"Pre-COVID"
"Bahrain","BHR","Account, female (% age 15+)","account.t.d.1",66.74,2014,"Pre-COVID"
"Bahrain","BHR","Account, female (% age 15+)","account.t.d.1",75.41,2017,"Pre-COVID"
"Bahrain","BHR","Account, female (% age 15+)","account.t.d.1",NA,2021,"Post-COVID"
"Bahrain","BHR","Account, female (% age 15+)","account.t.d.1",NA,2022,"Post-COVID"
"Bahrain","BHR","Account, male (% age 15+)","account.t.d.2",78.98,2011,"Pre-COVID"
"Bahrain","BHR","Account, male (% age 15+)","account.t.d.2",90.25,2014,"Pre-COVID"
"Bahrain","BHR","Account, male (% age 15+)","account.t.d.2",86.31,2017,"Pre-COVID"
"Bahrain","BHR","Account, male (% age 15+)","account.t.d.2",NA,2021,"Post-COVID"
"Bahrain","BHR","Account, male (% age 15+)","account.t.d.2",NA,2022,"Post-COVID"
"Bahrain","BHR","Borrowed any money (% age 15+)","borrow.any",NA,2011,"Pre-COVID"
"Bahrain","BHR","Borrowed any money (% age 15+)","borrow.any",67.78,2014,"Pre-COVID"
"Bahrain","BHR","Borrowed any money (% age 15+)","borrow.any",60.2,2017,"Pre-COVID"
"Bahrain","BHR","Borrowed any money (% age 15+)","borrow.any",NA,2021,"Post-COVID"
"Bahrain","BHR","Borrowed any money (% age 15+)","borrow.any",NA,2022,"Post-COVID"
"Bahrain","BHR","Made a digital payment (% age 15+)","g20.made.t.d",NA,2011,"Pre-COVID"
"Bahrain","BHR","Made a digital payment (% age 15+)","g20.made.t.d",63.65,2014,"Pre-COVID"
"Bahrain","BHR","Made a digital payment (% age 15+)","g20.made.t.d",68.65,2017,"Pre-COVID"
"Bahrain","BHR","Made a digital payment (% age 15+)","g20.made.t.d",NA,2021,"Post-COVID"
"Bahrain","BHR","Made a digital payment (% age 15+)","g20.made.t.d",NA,2022,"Post-COVID"
"Bahrain","BHR","Saved any money (% age 15+)","save.any",NA,2011,"Pre-COVID"
"Bahrain","BHR","Saved any money (% age 15+)","save.any",65.29,2014,"Pre-COVID"
"Bahrain","BHR","Saved any money (% age 15+)","save.any",54.89,2017,"Pre-COVID"
"Bahrain","BHR","Saved any money (% age 15+)","save.any",NA,2021,"Post-COVID"
"Bahrain","BHR","Saved any money (% age 15+)","save.any",NA,2022,"Post-COVID"
"Bangladesh","BGD","Account (% age 15+)","account.t.d",31.74,2011,"Pre-COVID"
"Bangladesh","BGD","Account (% age 15+)","account.t.d",30.99,2014,"Pre-COVID"
