"Country","Country_Code","Indicator","Series_Code","Value","Year"
"Angola","AGO","Account (% age 15+)","account.t.d",NA,2017
"Angola","AGO","Account (% age 15+)","account.t.d",NA,2021
"Angola","AGO","Account (% age 15+)","account.t.d",NA,2022
"Angola","AGO","Account, female (% age 15+)","account.t.d.1",38.93,2011
"Angola","AGO","Account, female (% age 15+)","account.t.d.1",22.33,2014
"Angola","AGO","Account, female (% age 15+)","account.t.d.1",NA,2017
"Angola","AGO","Account, female (% age 15+)","account.t.d.1",NA,2021
"Angola","AGO","Account, female (% age 15+)","account.t.d.1",NA,2022
"Angola","AGO","Account, male (% age 15+)","account.t.d.2",39.48,2011
"Angola","AGO","Account, male (% age 15+)","account.t.d.2",36.13,2014
"Angola","AGO","Account, male (% age 15+)","account.t.d.2",NA,2017
"Angola","AGO","Account, male (% age 15+)","account.t.d.2",NA,2021
"Angola","AGO","Account, male (% age 15+)","account.t.d.2",NA,2022
"Angola","AGO","Borrowed any money (% age 15+)","borrow.any",NA,2011
"Angola","AGO","Borrowed any money (% age 15+)","borrow.any",30.84,2014
"Angola","AGO","Borrowed any money (% age 15+)","borrow.any",NA,2017
"Angola","AGO","Borrowed any money (% age 15+)","borrow.any",NA,2021
"Angola","AGO","Borrowed any money (% age 15+)","borrow.any",NA,2022
"Angola","AGO","Made a digital payment (% age 15+)","g20.made.t.d",NA,2011
"Angola","AGO","Made a digital payment (% age 15+)","g20.made.t.d",19.18,2014
"Angola","AGO","Made a digital payment (% age 15+)","g20.made.t.d",NA,2017
"Angola","AGO","Made a digital payment (% age 15+)","g20.made.t.d",NA,2021
"Angola","AGO","Made a digital payment (% age 15+)","g20.made.t.d",NA,2022
"Angola","AGO","Saved any money (% age 15+)","save.any",NA,2011
"Angola","AGO","Saved any money (% age 15+)","save.any",53.06,2014
"Angola","AGO","Saved any money (% age 15+)","save.any",NA,2017
"Angola","AGO","Saved any money (% age 15+)","save.any",NA,2021
"Angola","AGO","Saved any money (% age 15+)","save.any",NA,2022
"Argentina","ARG","Account (% age 15+)","account.t.d",33.13,2011
"Argentina","ARG","Account (% age 15+)","account.t.d",50.2,2014
"Argentina","ARG","Account (% age 15+)","account.t.d",48.71,2017
"Argentina","ARG","Account (% age 15+)","account.t.d",71.63,2021
"Argentina","ARG","Account (% age 15+)","account.t.d",NA,2022
"Argentina","ARG","Account, female (% age 15+)","account.t.d.1",31.82,2011
"Argentina","ARG","Account, female (% age 15+)","account.t.d.1",50.85,2014
"Argentina","ARG","Account, female (% age 15+)","account.t.d.1",50.76,2017
"Argentina","ARG","Account, female (% age 15+)","account.t.d.1",73.75,2021
"Argentina","ARG","Account, female (% age 15+)","account.t.d.1",NA,2022
"Argentina","ARG","Account, male (% age 15+)","account.t.d.2",34.61,2011
"Argentina","ARG","Account, male (% age 15+)","account.t.d.2",49.46,2014
"Argentina","ARG","Account, male (% age 15+)","account.t.d.2",46.47,2017
"Argentina","ARG","Account, male (% age 15+)","account.t.d.2",69.56,2021
"Argentina","ARG","Account, male (% age 15+)","account.t.d.2",NA,2022
"Argentina","ARG","Borrowed any money (% age 15+)","borrow.any",NA,2011
"Argentina","ARG","Borrowed any money (% age 15+)","borrow.any",33.7,2014
"Argentina","ARG","Borrowed any money (% age 15+)","borrow.any",37.5,2017
"Argentina","ARG","Borrowed any money (% age 15+)","borrow.any",51.56,2021
"Argentina","ARG","Borrowed any money (% age 15+)","borrow.any",NA,2022
"Argentina","ARG","Made a digital payment (% age 15+)","g20.made.t.d",NA,2011
"Argentina","ARG","Made a digital payment (% age 15+)","g20.made.t.d",31.28,2014
"Argentina","ARG","Made a digital payment (% age 15+)","g20.made.t.d",31.87,2017
"Argentina","ARG","Made a digital payment (% age 15+)","g20.made.t.d",59.14,2021
"Argentina","ARG","Made a digital payment (% age 15+)","g20.made.t.d",NA,2022
"Argentina","ARG","Saved any money (% age 15+)","save.any",NA,2011
"Argentina","ARG","Saved any money (% age 15+)","save.any",23.14,2014
"Argentina","ARG","Saved any money (% age 15+)","save.any",30.31,2017
"Argentina","ARG","Saved any money (% age 15+)","save.any",38.72,2021
"Argentina","ARG","Saved any money (% age 15+)","save.any",NA,2022
"Armenia","ARM","Account (% age 15+)","account.t.d",17.49,2011
"Armenia","ARM","Account (% age 15+)","account.t.d",17.67,2014
"Armenia","ARM","Account (% age 15+)","account.t.d",47.76,2017
"Armenia","ARM","Account (% age 15+)","account.t.d",55.35,2021
"Armenia","ARM","Account (% age 15+)","account.t.d",NA,2022
"Armenia","ARM","Account, female (% age 15+)","account.t.d.1",18.15,2011
"Armenia","ARM","Account, female (% age 15+)","account.t.d.1",14.74,2014
"Armenia","ARM","Account, female (% age 15+)","account.t.d.1",40.91,2017
"Armenia","ARM","Account, female (% age 15+)","account.t.d.1",52.18,2021
"Armenia","ARM","Account, female (% age 15+)","account.t.d.1",NA,2022
"Armenia","ARM","Account, male (% age 15+)","account.t.d.2",16.72,2011
"Armenia","ARM","Account, male (% age 15+)","account.t.d.2",21.12,2014
"Armenia","ARM","Account, male (% age 15+)","account.t.d.2",55.75,2017
"Armenia","ARM","Account, male (% age 15+)","account.t.d.2",59.38,2021
"Armenia","ARM","Account, male (% age 15+)","account.t.d.2",NA,2022
"Armenia","ARM","Borrowed any money (% age 15+)","borrow.any",NA,2011
"Armenia","ARM","Borrowed any money (% age 15+)","borrow.any",48.02,2014
"Armenia","ARM","Borrowed any money (% age 15+)","borrow.any",55.32,2017
"Armenia","ARM","Borrowed any money (% age 15+)","borrow.any",57.31,2021
"Armenia","ARM","Borrowed any money (% age 15+)","borrow.any",NA,2022
"Armenia","ARM","Made a digital payment (% age 15+)","g20.made.t.d",NA,2011
"Armenia","ARM","Made a digital payment (% age 15+)","g20.made.t.d",7.23,2014
"Armenia","ARM","Made a digital payment (% age 15+)","g20.made.t.d",31.87,2017
"Armenia","ARM","Made a digital payment (% age 15+)","g20.made.t.d",40.34,2021
"Armenia","ARM","Made a digital payment (% age 15+)","g20.made.t.d",NA,2022
"Armenia","ARM","Saved any money (% age 15+)","save.any",NA,2011
"Armenia","ARM","Saved any money (% age 15+)","save.any",21,2014
"Armenia","ARM","Saved any money (% age 15+)","save.any",31.25,2017
"Armenia","ARM","Saved any money (% age 15+)","save.any",38.56,2021
"Armenia","ARM","Saved any money (% age 15+)","save.any",NA,2022
"Australia","AUS","Account (% age 15+)","account.t.d",99.06,2011
"Australia","AUS","Account (% age 15+)","account.t.d",98.86,2014
"Australia","AUS","Account (% age 15+)","account.t.d",99.52,2017
"Australia","AUS","Account (% age 15+)","account.t.d",99.32,2021
"Australia","AUS","Account (% age 15+)","account.t.d",NA,2022
"Australia","AUS","Account, female (% age 15+)","account.t.d.1",98.59,2011
"Australia","AUS","Account, female (% age 15+)","account.t.d.1",99.04,2014
"Australia","AUS","Account, female (% age 15+)","account.t.d.1",99.2,2017
"Australia","AUS","Account, female (% age 15+)","account.t.d.1",100,2021
"Australia","AUS","Account, female (% age 15+)","account.t.d.1",NA,2022
"Australia","AUS","Account, male (% age 15+)","account.t.d.2",99.59,2011
"Australia","AUS","Account, male (% age 15+)","account.t.d.2",98.67,2014
"Australia","AUS","Account, male (% age 15+)","account.t.d.2",99.85,2017
"Australia","AUS","Account, male (% age 15+)","account.t.d.2",98.59,2021
"Australia","AUS","Account, male (% age 15+)","account.t.d.2",NA,2022
"Australia","AUS","Borrowed any money (% age 15+)","borrow.any",NA,2011
"Australia","AUS","Borrowed any money (% age 15+)","borrow.any",76.1,2014
"Australia","AUS","Borrowed any money (% age 15+)","borrow.any",71.72,2017
"Australia","AUS","Borrowed any money (% age 15+)","borrow.any",67,2021
"Australia","AUS","Borrowed any money (% age 15+)","borrow.any",NA,2022
"Australia","AUS","Made a digital payment (% age 15+)","g20.made.t.d",NA,2011
"Australia","AUS","Made a digital payment (% age 15+)","g20.made.t.d",93.22,2014
"Australia","AUS","Made a digital payment (% age 15+)","g20.made.t.d",93.58,2017
"Australia","AUS","Made a digital payment (% age 15+)","g20.made.t.d",97.43,2021
"Australia","AUS","Made a digital payment (% age 15+)","g20.made.t.d",NA,2022
"Australia","AUS","Saved any money (% age 15+)","save.any",NA,2011
"Australia","AUS","Saved any money (% age 15+)","save.any",81.47,2014
"Australia","AUS","Saved any money (% age 15+)","save.any",79.29,2017
"Australia","AUS","Saved any money (% age 15+)","save.any",82.98,2021
"Australia","AUS","Saved any money (% age 15+)","save.any",NA,2022
"Austria","AUT","Account (% age 15+)","account.t.d",97.08,2011
"Austria","AUT","Account (% age 15+)","account.t.d",96.73,2014
"Austria","AUT","Account (% age 15+)","account.t.d",98.16,2017
"Austria","AUT","Account (% age 15+)","account.t.d",99.95,2021
"Austria","AUT","Account (% age 15+)","account.t.d",NA,2022
"Austria","AUT","Account, female (% age 15+)","account.t.d.1",96.56,2011
"Austria","AUT","Account, female (% age 15+)","account.t.d.1",97.37,2014
"Austria","AUT","Account, female (% age 15+)","account.t.d.1",98.38,2017
"Austria","AUT","Account, female (% age 15+)","account.t.d.1",100,2021
"Austria","AUT","Account, female (% age 15+)","account.t.d.1",NA,2022
"Austria","AUT","Account, male (% age 15+)","account.t.d.2",97.74,2011
"Austria","AUT","Account, male (% age 15+)","account.t.d.2",96.06,2014
"Austria","AUT","Account, male (% age 15+)","account.t.d.2",97.93,2017
"Austria","AUT","Account, male (% age 15+)","account.t.d.2",99.9,2021
"Austria","AUT","Account, male (% age 15+)","account.t.d.2",NA,2022
"Austria","AUT","Borrowed any money (% age 15+)","borrow.any",NA,2011
"Austria","AUT","Borrowed any money (% age 15+)","borrow.any",57.26,2014
"Austria","AUT","Borrowed any money (% age 15+)","borrow.any",61.6,2017
"Austria","AUT","Borrowed any money (% age 15+)","borrow.any",64.01,2021
"Austria","AUT","Borrowed any money (% age 15+)","borrow.any",NA,2022
"Austria","AUT","Made a digital payment (% age 15+)","g20.made.t.d",NA,2011
"Austria","AUT","Made a digital payment (% age 15+)","g20.made.t.d",90.29,2014
"Austria","AUT","Made a digital payment (% age 15+)","g20.made.t.d",93.52,2017
"Austria","AUT","Made a digital payment (% age 15+)","g20.made.t.d",99.23,2021
"Austria","AUT","Made a digital payment (% age 15+)","g20.made.t.d",NA,2022
"Austria","AUT","Saved any money (% age 15+)","save.any",NA,2011
"Austria","AUT","Saved any money (% age 15+)","save.any",79.6,2014
"Austria","AUT","Saved any money (% age 15+)","save.any",79.6,2017
"Austria","AUT","Saved any money (% age 15+)","save.any",92,2021
"Austria","AUT","Saved any money (% age 15+)","save.any",NA,2022
"Azerbaijan","AZE","Account (% age 15+)","account.t.d",14.9,2011
"Azerbaijan","AZE","Account (% age 15+)","account.t.d",29.15,2014
"Azerbaijan","AZE","Account (% age 15+)","account.t.d",28.57,2017
"Azerbaijan","AZE","Account (% age 15+)","account.t.d",NA,2021
"Azerbaijan","AZE","Account (% age 15+)","account.t.d",46.26,2022
"Azerbaijan","AZE","Account, female (% age 15+)","account.t.d.1",14.26,2011
"Azerbaijan","AZE","Account, female (% age 15+)","account.t.d.1",25.9,2014
"Azerbaijan","AZE","Account, female (% age 15+)","account.t.d.1",27.72,2017
"Azerbaijan","AZE","Account, female (% age 15+)","account.t.d.1",NA,2021
"Azerbaijan","AZE","Account, female (% age 15+)","account.t.d.1",38.84,2022
"Azerbaijan","AZE","Account, male (% age 15+)","account.t.d.2",15.62,2011
"Azerbaijan","AZE","Account, male (% age 15+)","account.t.d.2",32.61,2014
"Azerbaijan","AZE","Account, male (% age 15+)","account.t.d.2",29.44,2017
"Azerbaijan","AZE","Account, male (% age 15+)","account.t.d.2",NA,2021
"Azerbaijan","AZE","Account, male (% age 15+)","account.t.d.2",54.59,2022
"Azerbaijan","AZE","Borrowed any money (% age 15+)","borrow.any",NA,2011
"Azerbaijan","AZE","Borrowed any money (% age 15+)","borrow.any",49.78,2014
"Azerbaijan","AZE","Borrowed any money (% age 15+)","borrow.any",50.61,2017
"Azerbaijan","AZE","Borrowed any money (% age 15+)","borrow.any",NA,2021
"Azerbaijan","AZE","Borrowed any money (% age 15+)","borrow.any",55.08,2022
"Azerbaijan","AZE","Made a digital payment (% age 15+)","g20.made.t.d",NA,2011
"Azerbaijan","AZE","Made a digital payment (% age 15+)","g20.made.t.d",8.9,2014
"Azerbaijan","AZE","Made a digital payment (% age 15+)","g20.made.t.d",10.39,2017
"Azerbaijan","AZE","Made a digital payment (% age 15+)","g20.made.t.d",NA,2021
"Azerbaijan","AZE","Made a digital payment (% age 15+)","g20.made.t.d",27.71,2022
"Azerbaijan","AZE","Saved any money (% age 15+)","save.any",NA,2011
"Azerbaijan","AZE","Saved any money (% age 15+)","save.any",39.54,2014
"Azerbaijan","AZE","Saved any money (% age 15+)","save.any",26.78,2017
"Azerbaijan","AZE","Saved any money (% age 15+)","save.any",NA,2021
"Azerbaijan","AZE","Saved any money (% age 15+)","save.any",19.47,2022
"Bahrain","BHR","Account (% age 15+)","account.t.d",64.51,2011
"Bahrain","BHR","Account (% age 15+)","account.t.d",81.94,2014
"Bahrain","BHR","Account (% age 15+)","account.t.d",82.61,2017
"Bahrain","BHR","Account (% age 15+)","account.t.d",NA,2021
"Bahrain","BHR","Account (% age 15+)","account.t.d",NA,2022
"Bahrain","BHR","Account, female (% age 15+)","account.t.d.1",48.78,2011
"Bahrain","BHR","Account, female (% age 15+)","account.t.d.1",66.74,2014
"Bahrain","BHR","Account, female (% age 15+)","account.t.d.1",75.41,2017
"Bahrain","BHR","Account, female (% age 15+)","account.t.d.1",NA,2021
"Bahrain","BHR","Account, female (% age 15+)","account.t.d.1",NA,2022
"Bahrain","BHR","Account, male (% age 15+)","account.t.d.2",78.98,2011
"Bahrain","BHR","Account, male (% age 15+)","account.t.d.2",90.25,2014
"Bahrain","BHR","Account, male (% age 15+)","account.t.d.2",86.31,2017
"Bahrain","BHR","Account, male (% age 15+)","account.t.d.2",NA,2021
"Bahrain","BHR","Account, male (% age 15+)","account.t.d.2",NA,2022
"Bahrain","BHR","Borrowed any money (% age 15+)","borrow.any",NA,2011
"Bahrain","BHR","Borrowed any money (% age 15+)","borrow.any",67.78,2014
"Bahrain","BHR","Borrowed any money (% age 15+)","borrow.any",60.2,2017
"Bahrain","BHR","Borrowed any money (% age 15+)","borrow.any",NA,2021
"Bahrain","BHR","Borrowed any money (% age 15+)","borrow.any",NA,2022
"Bahrain","BHR","Made a digital payment (% age 15+)","g20.made.t.d",NA,2011
"Bahrain","BHR","Made a digital payment (% age 15+)","g20.made.t.d",63.65,2014
"Bahrain","BHR","Made a digital payment (% age 15+)","g20.made.t.d",68.65,2017
"Bahrain","BHR","Made a digital payment (% age 15+)","g20.made.t.d",NA,2021
"Bahrain","BHR","Made a digital payment (% age 15+)","g20.made.t.d",NA,2022
"Bahrain","BHR","Saved any money (% age 15+)","save.any",NA,2011
"Bahrain","BHR","Saved any money (% age 15+)","save.any",65.29,2014
"Bahrain","BHR","Saved any money (% age 15+)","save.any",54.89,2017
"Bahrain","BHR","Saved any money (% age 15+)","save.any",NA,2021
"Bahrain","BHR","Saved any money (% age 15+)","save.any",NA,2022
"Bangladesh","BGD","Account (% age 15+)","account.t.d",31.74,2011
"Bangladesh","BGD","Account (% age 15+)","account.t.d",30.99,2014
"Bangladesh","BGD","Account (% age 15+)","account.t.d",50.05,2017
"Bangladesh","BGD","Account (% age 15+)","account.t.d",52.81,2021
"Bangladesh","BGD","Account (% age 15+)","account.t.d",NA,2022
"Bangladesh","BGD","Account, female (% age 15+)","account.t.d.1",26.01,2011
"Bangladesh","BGD","Account, female (% age 15+)","account.t.d.1",26.45,2014
"Bangladesh","BGD","Account, female (% age 15+)","account.t.d.1",35.84,2017
"Bangladesh","BGD","Account, female (% age 15+)","account.t.d.1",43.46,2021
"Bangladesh","BGD","Account, female (% age 15+)","account.t.d.1",NA,2022
"Bangladesh","BGD","Account, male (% age 15+)","account.t.d.2",37.29,2011
"Bangladesh","BGD","Account, male (% age 15+)","account.t.d.2",35.37,2014
"Bangladesh","BGD","Account, male (% age 15+)","account.t.d.2",64.59,2017
"Bangladesh","BGD","Account, male (% age 15+)","account.t.d.2",62.86,2021
"Bangladesh","BGD","Account, male (% age 15+)","account.t.d.2",NA,2022
"Bangladesh","BGD","Borrowed any money (% age 15+)","borrow.any",NA,2011
"Bangladesh","BGD","Borrowed any money (% age 15+)","borrow.any",48.37,2014
"Bangladesh","BGD","Borrowed any money (% age 15+)","borrow.any",36.79,2017
"Bangladesh","BGD","Borrowed any money (% age 15+)","borrow.any",46.13,2021
"Bangladesh","BGD","Borrowed any money (% age 15+)","borrow.any",NA,2022
"Bangladesh","BGD","Made a digital payment (% age 15+)","g20.made.t.d",NA,2011
"Bangladesh","BGD","Made a digital payment (% age 15+)","g20.made.t.d",5.94,2014
"Bangladesh","BGD","Made a digital payment (% age 15+)","g20.made.t.d",30.13,2017
"Bangladesh","BGD","Made a digital payment (% age 15+)","g20.made.t.d",40.58,2021
"Bangladesh","BGD","Made a digital payment (% age 15+)","g20.made.t.d",NA,2022
"Bangladesh","BGD","Saved any money (% age 15+)","save.any",NA,2011
"Bangladesh","BGD","Saved any money (% age 15+)","save.any",23.91,2014
"Bangladesh","BGD","Saved any money (% age 15+)","save.any",27.52,2017
"Bangladesh","BGD","Saved any money (% age 15+)","save.any",23.36,2021
"Bangladesh","BGD","Saved any money (% age 15+)","save.any",NA,2022
"Belarus","BLR","Account (% age 15+)","account.t.d",58.6,2011
"Belarus","BLR","Account (% age 15+)","account.t.d",71.98,2014
"Belarus","BLR","Account (% age 15+)","account.t.d",81.16,2017
"Belarus","BLR","Account (% age 15+)","account.t.d",NA,2021
"Belarus","BLR","Account (% age 15+)","account.t.d",NA,2022
"Belarus","BLR","Account, female (% age 15+)","account.t.d.1",58.07,2011
"Belarus","BLR","Account, female (% age 15+)","account.t.d.1",71.96,2014
"Belarus","BLR","Account, female (% age 15+)","account.t.d.1",81.34,2017
"Belarus","BLR","Account, female (% age 15+)","account.t.d.1",NA,2021
"Belarus","BLR","Account, female (% age 15+)","account.t.d.1",NA,2022
"Belarus","BLR","Account, male (% age 15+)","account.t.d.2",59.24,2011
"Belarus","BLR","Account, male (% age 15+)","account.t.d.2",72.02,2014
"Belarus","BLR","Account, male (% age 15+)","account.t.d.2",80.93,2017
"Belarus","BLR","Account, male (% age 15+)","account.t.d.2",NA,2021
"Belarus","BLR","Account, male (% age 15+)","account.t.d.2",NA,2022
"Belarus","BLR","Borrowed any money (% age 15+)","borrow.any",NA,2011
"Belarus","BLR","Borrowed any money (% age 15+)","borrow.any",42.62,2014
"Belarus","BLR","Borrowed any money (% age 15+)","borrow.any",48.64,2017
"Belarus","BLR","Borrowed any money (% age 15+)","borrow.any",NA,2021
"Belarus","BLR","Borrowed any money (% age 15+)","borrow.any",NA,2022
"Belarus","BLR","Made a digital payment (% age 15+)","g20.made.t.d",NA,2011
"Belarus","BLR","Made a digital payment (% age 15+)","g20.made.t.d",46.29,2014
"Belarus","BLR","Made a digital payment (% age 15+)","g20.made.t.d",69.34,2017
"Belarus","BLR","Made a digital payment (% age 15+)","g20.made.t.d",NA,2021
"Belarus","BLR","Made a digital payment (% age 15+)","g20.made.t.d",NA,2022
"Belarus","BLR","Saved any money (% age 15+)","save.any",NA,2011
"Belarus","BLR","Saved any money (% age 15+)","save.any",50.39,2014
"Belarus","BLR","Saved any money (% age 15+)","save.any",50.43,2017
"Belarus","BLR","Saved any money (% age 15+)","save.any",NA,2021
"Belarus","BLR","Saved any money (% age 15+)","save.any",NA,2022
"Belgium","BEL","Account (% age 15+)","account.t.d",96.31,2011
"Belgium","BEL","Account (% age 15+)","account.t.d",98.13,2014
"Belgium","BEL","Account (% age 15+)","account.t.d",98.64,2017
"Belgium","BEL","Account (% age 15+)","account.t.d",99.01,2021
"Belgium","BEL","Account (% age 15+)","account.t.d",NA,2022
"Belgium","BEL","Account, female (% age 15+)","account.t.d.1",97.18,2011
"Belgium","BEL","Account, female (% age 15+)","account.t.d.1",99.51,2014
"Belgium","BEL","Account, female (% age 15+)","account.t.d.1",98.82,2017
"Belgium","BEL","Account, female (% age 15+)","account.t.d.1",98.65,2021
"Belgium","BEL","Account, female (% age 15+)","account.t.d.1",NA,2022
"Belgium","BEL","Account, male (% age 15+)","account.t.d.2",95.3,2011
"Belgium","BEL","Account, male (% age 15+)","account.t.d.2",96.69,2014
"Belgium","BEL","Account, male (% age 15+)","account.t.d.2",98.45,2017
"Belgium","BEL","Account, male (% age 15+)","account.t.d.2",99.37,2021
"Belgium","BEL","Account, male (% age 15+)","account.t.d.2",NA,2022
"Belgium","BEL","Borrowed any money (% age 15+)","borrow.any",NA,2011
"Belgium","BEL","Borrowed any money (% age 15+)","borrow.any",55.36,2014
"Belgium","BEL","Borrowed any money (% age 15+)","borrow.any",54.45,2017
"Belgium","BEL","Borrowed any money (% age 15+)","borrow.any",56.28,2021
"Belgium","BEL","Borrowed any money (% age 15+)","borrow.any",NA,2022
"Belgium","BEL","Made a digital payment (% age 15+)","g20.made.t.d",NA,2011
